model,prompt_type,block,effect,estimate,se,ci_lo,ci_hi,p
qwen3-8b-think,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,domain,model role (vs control),0.03780487804878041,0.032445111646020576,-0.02409638554216864,0.10243977717554963,0.25293676580854785
qwen3-8b-think,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,irrel,user (high-low),-0.01097560975609757,0.011498551568635924,-0.03433829066265061,0.01097560975609757,0.33441639590102473
qwen3-8b-think,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,irrel,model (high-low),0.01097560975609757,0.008136496630355976,-0.004268292682926725,0.027782738095238124,0.16745813546613347
qwen3-8b-think,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,irrel,user role (vs control),-0.03536585365853662,0.02890161019849969,-0.09125037650602415,0.021251157407407403,0.2234441389652587
qwen3-8b-think,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,irrel,model role (vs control),-0.027439024390243927,0.028991842974913296,-0.08353658536585362,0.02957458220415535,0.3399150212446888
qwen3-8b-think,YES_NO_PROMPT,domain,user (high-low),0.004761904761904745,0.01474579935423058,-0.023809523809523836,0.033333333333333326,0.8127968007998001
qwen3-8b-think,YES_NO_PROMPT,domain,model (high-low),0.021428571428571352,0.01707396059047655,-0.00952380952380949,0.05714285714285716,0.2174456385903524
qwen3-8b-think,YES_NO_PROMPT,domain,user role (vs control),0.033333333333333326,0.02478549711580296,-0.013095238095238049,0.08333333333333326,0.18195451137215696
qwen3-8b-think,YES_NO_PROMPT,domain,model role (vs control),0.027380952380952395,0.025818932230272058,-0.020238095238095166,0.08095238095238089,0.2879280179955011
qwen3-8b-think,YES_NO_PROMPT,irrel,user (high-low),-0.0023809523809523725,0.008567942387467267,-0.019062500000000034,0.013690476190476253,0.8247938015496126
qwen3-8b-think,YES_NO_PROMPT,irrel,model (high-low),0.01904761904761909,0.0072366797297248,0.005952380952380931,0.03392857142857142,0.004498875281179705
qwen3-8b-think,YES_NO_PROMPT,irrel,user role (vs control),0.005357142857142838,0.022857983282956223,-0.038690476190476164,0.05029761904761909,0.8327918020494877
qwen3-8b-think,YES_NO_PROMPT,irrel,model role (vs control),0.0172619047619047,0.022490886538701692,-0.025014880952380966,0.0630952380952381,0.46138465383654087
